Program Version = FreeWake2020_dev V0.4
Flight configuration defined in input file = FW_Input.txt
Flight Condition number = 1
This file holds surface DVE informtion of last timestep
Angle of attack sweep alpha = 8.000
surface and wake DVE after number of timesteps = 25
elements in span direction = 123
number of surface elements = 738
Coefficients are based on DVE area and DVE freestreaem velocity
 index               xo               yo               zo              cfn         normal-x         normal-y         normal-z                u                v                w             area              eta              xsi               nu          epsilon              psi            phiLE             Phi0            phiTE               x1               y1               z1               x2               y2               z2                A                B                C 	#
     0       -16.555199        -8.487841        -1.120343         0.219899        -0.165523         0.870134         0.464186        26.774890        -0.804902         3.762965         0.000156         0.010316         0.003783       -61.921619        -9.527645         1.460260       -41.475693       -21.647086       -38.309125       -16.549678        -8.491814        -1.110927       -16.568178        -8.485064        -1.130177         0.125104         8.203439      -380.284488 
     1       -16.572741        -8.480937        -1.139539         0.280504        -0.165523         0.870134         0.464186        26.774890        -0.804902         3.762965         0.000196         0.010316         0.004755       -61.921619        -9.527645         1.460260       -41.475693       -21.647086       -38.309125       -16.568178        -8.485064        -1.130177       -16.586678        -8.478314        -1.149427         0.175941         0.937922        28.152485 
     2       -16.590283        -8.474034        -1.158735         0.266006        -0.165523         0.870134         0.464186        26.774890        -0.804902         3.762965         0.000236         0.010316         0.005727       -61.921619        -9.527645         1.460260       -41.475693       -21.647086       -38.309125       -16.586678        -8.478314        -1.149427       -16.605178        -8.471564        -1.168677         0.202901         1.251120       -12.972934 
     3       -16.607824        -8.467130        -1.177931         0.253620        -0.165523         0.870134         0.464186        26.774890        -0.804902         3.762965         0.000276         0.010316         0.006699       -61.921619        -9.527645         1.460260       -41.475693       -21.647086       -38.309125       -16.605178        -8.471564        -1.168677       -16.623678        -8.464814        -1.187927         0.224949         1.056367         3.533999 
     4       -16.547741        -8.487034        -1.120056         0.161354        -0.059619         0.918732         0.390356        26.774890        -0.804902         3.762965         0.000153         0.010213         0.003736       -66.980065        -3.417943         0.166028       -39.022575       -20.420527       -35.620781       -16.543178        -8.490772        -1.110562       -16.559762        -8.483715        -1.129705         0.204377        13.998371      -588.802444 
     5       -16.563366        -8.479923        -1.139179         0.233996        -0.059619         0.918732         0.390356        26.774890        -0.804902         3.762965         0.000192         0.010213         0.004696       -66.980065        -3.417943         0.166028       -39.022575       -20.420527       -35.620781       -16.559762        -8.483715        -1.129705       -16.576345        -8.476658        -1.148847         0.308139         2.378224        19.905135 
     6       -16.578991        -8.472812        -1.158301         0.232160        -0.059619         0.918732         0.390356        26.774890        -0.804902         3.762965         0.000231         0.010213         0.005656       -66.980065        -3.417943         0.166028       -39.022575       -20.420527       -35.620781       -16.576345        -8.476658        -1.148847       -16.592928        -8.469600        -1.167989         0.361150         2.433362       -17.205692 
     7       -16.594616        -8.465701        -1.177424         0.226839        -0.059619         0.918732         0.390356        26.774890        -0.804902         3.762965         0.000270         0.010213         0.006616       -66.980065        -3.417943         0.166028       -39.022575       -20.420527       -35.620781       -16.592928        -8.469600        -1.167989       -16.609512        -8.462543        -1.187131         0.405923         2.170727         4.347664 
     8       -16.540283        -8.486788        -1.119973         0.116770        -0.009972         0.933723         0.357858        26.774890        -0.804902         3.762965         0.000152         0.010202         0.003729       -69.030171        -0.571380         0.004096       -35.707183       -18.762830       -31.997340       -16.536678        -8.490405        -1.110434       -16.551345        -8.483240        -1.129538         0.259792        18.274168      -704.764208 
     9       -16.553991        -8.479613        -1.139074         0.187633        -0.009972         0.933723         0.357858        26.774890        -0.804902         3.762965         0.000191         0.010202         0.004688       -69.030171        -0.571380         0.004096       -35.707183       -18.762830       -31.997340       -16.551345        -8.483240        -1.129538       -16.566012        -8.476075        -1.148642         0.412480         3.870333        -1.153436 
    10       -16.567699        -8.472439        -1.158175         0.192537        -0.009972         0.933723         0.357858        26.774890        -0.804902         3.762965         0.000230         0.010202         0.005646       -69.030171        -0.571380         0.004096       -35.707183       -18.762830       -31.997340       -16.566012        -8.476075        -1.148642       -16.580678        -8.468909        -1.167747         0.489288         3.493302       -17.324456 
    11       -16.581408        -8.465265        -1.177276         0.191390        -0.009972         0.933723         0.357858        26.774890        -0.804902         3.762965         0.000270         0.010202         0.006604       -69.030171        -0.571380         0.004096       -35.707183       -18.762830       -31.997340       -16.580678        -8.468909        -1.167747       -16.595345        -8.461744        -1.186851         0.555190         3.146269         0.316696 
    12       -16.532824        -8.486889        -1.120013         0.095910         0.039210         0.943606         0.328741        26.774890        -0.804902         3.762965         0.000152         0.010205         0.003732       -70.792265         2.247131         0.055102       -31.972399       -16.895438       -27.934392       -16.530178        -8.490344        -1.110412       -16.542928        -8.483161        -1.129510         0.305219        21.809200      -793.607398 
    13       -16.544616        -8.479741        -1.139124         0.159304         0.039210         0.943606         0.328741        26.774890        -0.804902         3.762965         0.000191         0.010205         0.004691       -70.792265         2.247131         0.055102       -31.972399       -16.895438       -27.934392       -16.542928        -8.483161        -1.129510       -16.555678        -8.475977        -1.148608         0.500734         5.284787       -15.998663 
    14       -16.556408        -8.472593        -1.158235         0.168921         0.039210         0.943606         0.328741        26.774890        -0.804902         3.762965         0.000231         0.010205         0.005650       -70.792265         2.247131         0.055102       -31.972399       -16.895438       -27.934392       -16.555678        -8.475977        -1.148608       -16.568428        -8.468794        -1.167706         0.601375         4.522208       -21.363507 
    15       -16.568199        -8.465445        -1.177347         0.169194         0.039210         0.943606         0.328741        26.774890        -0.804902         3.762965         0.000270         0.010205         0.006609       -70.792265         2.247131         0.055102       -31.972399       -16.895438       -27.934392       -16.568428        -8.468794        -1.167706       -16.581178        -8.461611        -1.186804         0.686459         3.979999        -5.201784 
    16       -16.525366        -8.487310        -1.120163         0.075723         0.080104         0.948237         0.307295        26.774890        -0.804902         3.762965         0.000153         0.010211         0.003741       -72.044031         4.594547         0.196018       -27.869245       -14.843862       -23.500729       -16.523678        -8.490585        -1.110497       -16.534512        -8.483472        -1.129620         0.341374        24.606584      -864.454845 
    17       -16.535241        -8.480270        -1.139312         0.126495         0.080104         0.948237         0.307295        26.774890        -0.804902         3.762965         0.000192         0.010211         0.004703       -72.044031         4.594547         0.196018       -27.869245       -14.843862       -23.500729       -16.534512        -8.483472        -1.129620       -16.545345        -8.476360        -1.148742         0.570890         6.443048       -24.988668 
    18       -16.545116        -8.473230        -1.158462         0.136438         0.080104         0.948237         0.307295        26.774890        -0.804902         3.762965         0.000231         0.010211         0.005664       -72.044031         4.594547         0.196018       -27.869245       -14.843862       -23.500729       -16.545345        -8.476360        -1.148742       -16.556178        -8.469248        -1.167865         0.692017         5.417270       -25.242323 
    19       -16.554991        -8.466189        -1.177612         0.138216         0.080104         0.948237         0.307295        26.774890        -0.804902         3.762965         0.000271         0.010211         0.006625       -72.044031         4.594547         0.196018       -27.869245       -14.843862       -23.500729       -16.556178        -8.469248        -1.167865       -16.567012        -8.462135        -1.186988         0.793664         4.689161       -10.412137 
    20       -16.517908        -8.488015        -1.120409         0.052284         0.118885         0.949681         0.289780        26.774890        -0.804902         3.762965         0.000153         0.010214         0.003756       -73.031257         6.827780         0.356963       -23.431313       -12.624895       -18.748725       -16.517178        -8.491078        -1.110670       -16.526095        -8.484111        -1.129844         0.366731        26.528888      -917.932050 
