Program Version = FreeWake2020_dev V0.4
Flight configuration defined in input file = input.txt
Flight Condition number = 1
This file holds surface DVE informtion of last timestep
Angle of attack sweep alpha = 15.000
surface and wake DVE after number of timesteps = 20
elements in span direction = 18
number of surface elements = 92
Coefficients are based on DVE area and DVE freestreaem velocity
 index               xo               yo               zo              cfn         normal-x         normal-y         normal-z                u                v                w             area              eta              xsi               nu          epsilon              psi            phiLE             Phi0            phiTE               x1               y1               z1               x2               y2               z2                A                B                C 	#
     0      -101.347212        -9.000000       -27.162622         0.658506        -0.175596         0.000000         0.984462         9.659258         0.000000         2.588190         0.304735         1.000000         0.076184        -0.000000       -10.113353        -0.000000         0.000000         0.000000         0.000000      -101.422212       -10.000000       -27.176000      -101.422212        -8.000000       -27.176000         2.198430         1.471984        -0.726445 
     1      -101.347212        -7.000000       -27.162622         1.016340        -0.175596         0.000000         0.984462         9.659258         0.000000         2.588190         0.304735         1.000000         0.076184        -0.000000       -10.113353        -0.000000         0.000000         0.000000         0.000000      -101.422212        -8.000000       -27.176000      -101.422212        -6.000000       -27.176000         2.978058         0.049085         0.014996 
     2      -101.347212        -5.000000       -27.162622         1.061003        -0.175596         0.000000         0.984462         9.659258         0.000000         2.588190         0.304735         1.000000         0.076184        -0.000000       -10.113353        -0.000000         0.000000         0.000000         0.000000      -101.422212        -6.000000       -27.176000      -101.422212        -4.000000       -27.176000         3.108263         0.053172        -0.012952 
     3      -101.347212        -3.000000       -27.162622         1.084919        -0.175596         0.000000         0.984462         9.659258         0.000000         2.588190         0.304735         1.000000         0.076184        -0.000000       -10.113353        -0.000000         0.000000         0.000000         0.000000      -101.422212        -4.000000       -27.176000      -101.422212        -2.000000       -27.176000         3.171705         0.019176        -0.004046 
     4      -101.347212        -1.000000       -27.162622         1.093505        -0.175596         0.000000         0.984462         9.659258         0.000000         2.588190         0.304735         1.000000         0.076184        -0.000000       -10.113353        -0.000000         0.000000         0.000000         0.000000      -101.422212        -2.000000       -27.176000      -101.422212         0.000000       -27.176000         3.195144         0.005535        -0.002774 
     5      -101.197212        -9.000000       -27.144160         0.407452        -0.067644         0.000000         0.997709         9.659258         0.000000         2.588190         0.300689         1.000000         0.075172        -0.000000        -3.878702        -0.000000         0.000000         0.000000         0.000000      -101.272212       -10.000000       -27.149245      -101.272212        -8.000000       -27.149245         3.592072         2.388247        -1.203826 
     6      -101.197212        -7.000000       -27.144160         0.604840        -0.067644         0.000000         0.997709         9.659258         0.000000         2.588190         0.300689         1.000000         0.075172        -0.000000        -3.878702        -0.000000         0.000000         0.000000         0.000000      -101.272212        -8.000000       -27.149245      -101.272212        -6.000000       -27.149245         4.792888         0.052194         0.035799 
     7      -101.197212        -5.000000       -27.144160         0.622936        -0.067644         0.000000         0.997709         9.659258         0.000000         2.588190         0.300689         1.000000         0.075172        -0.000000        -3.878702        -0.000000         0.000000         0.000000         0.000000      -101.272212        -6.000000       -27.149245      -101.272212        -4.000000       -27.149245         4.983538         0.081521        -0.021136 
     8      -101.197212        -3.000000       -27.144160         0.633940        -0.067644         0.000000         0.997709         9.659258         0.000000         2.588190         0.300689         1.000000         0.075172        -0.000000        -3.878702        -0.000000         0.000000         0.000000         0.000000      -101.272212        -4.000000       -27.149245      -101.272212        -2.000000       -27.149245         5.077472         0.027850        -0.005700 
     9      -101.197212        -1.000000       -27.144160         0.637688        -0.067644         0.000000         0.997709         9.659258         0.000000         2.588190         0.300689         1.000000         0.075172        -0.000000        -3.878702        -0.000000         0.000000         0.000000         0.000000      -101.272212        -2.000000       -27.149245      -101.272212         0.000000       -27.149245         5.111955         0.008214        -0.004118 
    10      -101.047212        -9.000000       -27.137412         0.298390        -0.022167         0.000000         0.999754         9.659258         0.000000         2.588190         0.300074         1.000000         0.075018        -0.000000        -1.270156        -0.000000         0.000000         0.000000         0.000000      -101.122212       -10.000000       -27.139075      -101.122212        -8.000000       -27.139075         4.631828         3.074098        -1.557730 
    11      -101.047212        -7.000000       -27.137412         0.444352        -0.022167         0.000000         0.999754         9.659258         0.000000         2.588190         0.300074         1.000000         0.075018        -0.000000        -1.270156        -0.000000         0.000000         0.000000         0.000000      -101.122212        -8.000000       -27.139075      -101.122212        -6.000000       -27.139075         6.155575         0.056122         0.048743 
    12      -101.047212        -5.000000       -27.137412         0.456593        -0.022167         0.000000         0.999754         9.659258         0.000000         2.588190         0.300074         1.000000         0.075018        -0.000000        -1.270156        -0.000000         0.000000         0.000000         0.000000      -101.122212        -6.000000       -27.139075      -101.122212        -4.000000       -27.139075         6.387644         0.100799        -0.026405 
