Program Version = FreeWake2020_dev V0.4
Flight configuration defined in input file = input.txt
Flight Condition number = 1
This file holds surface DVE informtion of last timestep
CL trim final alpha = 21.408
surface and wake DVE after number of timesteps = 20
elements in span direction = 18
number of surface elements = 92
Coefficients are based on DVE area and DVE freestreaem velocity
 index               xo               yo               zo              cfn         normal-x         normal-y         normal-z                u                v                w             area              eta              xsi               nu          epsilon              psi            phiLE             Phi0            phiTE               x1               y1               z1               x2               y2               z2                A                B                C 	#
     0       -97.680193        -9.000000       -38.313144         1.004066        -0.175596         0.000000         0.984462         9.310018         0.000000         3.650145         0.304735         1.000000         0.076184        -0.000000       -10.113353        -0.000000         0.000000         0.000000         0.000000       -97.755193       -10.000000       -38.326521       -97.755193        -8.000000       -38.326521         3.235091         2.144199        -1.090892 
     1       -97.680193        -7.000000       -38.313144         1.546986        -0.175596         0.000000         0.984462         9.310018         0.000000         3.650145         0.304735         1.000000         0.076184        -0.000000       -10.113353        -0.000000         0.000000         0.000000         0.000000       -97.755193        -8.000000       -38.326521       -97.755193        -6.000000       -38.326521         4.288789         0.038370         0.037978 
     2       -97.680193        -5.000000       -38.313144         1.611917        -0.175596         0.000000         0.984462         9.310018         0.000000         3.650145         0.304735         1.000000         0.076184        -0.000000       -10.113353        -0.000000         0.000000         0.000000         0.000000       -97.755193        -6.000000       -38.326521       -97.755193        -4.000000       -38.326521         4.459429         0.074260        -0.020033 
     3       -97.680193        -3.000000       -38.313144         1.647979        -0.175596         0.000000         0.984462         9.310018         0.000000         3.650145         0.304735         1.000000         0.076184        -0.000000       -10.113353        -0.000000         0.000000         0.000000         0.000000       -97.755193        -4.000000       -38.326521       -97.755193        -2.000000       -38.326521         4.542987         0.024468        -0.004863 
     4       -97.680193        -1.000000       -38.313144         1.660637        -0.175596         0.000000         0.984462         9.310018         0.000000         3.650145         0.304735         1.000000         0.076184        -0.000000       -10.113353        -0.000000         0.000000         0.000000         0.000000       -97.755193        -2.000000       -38.326521       -97.755193         0.000000       -38.326521         4.573644         0.007363        -0.003689 
     5       -97.530193        -9.000000       -38.294681         0.518677        -0.067644         0.000000         0.997709         9.310018         0.000000         3.650145         0.300689         1.000000         0.075172        -0.000000        -3.878702        -0.000000         0.000000         0.000000         0.000000       -97.605193       -10.000000       -38.299766       -97.605193        -8.000000       -38.299766         5.072622         3.355114        -1.717508 
     6       -97.530193        -7.000000       -38.294681         0.773642        -0.067644         0.000000         0.997709         9.310018         0.000000         3.650145         0.300689         1.000000         0.075172        -0.000000        -3.878702        -0.000000         0.000000         0.000000         0.000000       -97.605193        -8.000000       -38.299766       -97.605193        -6.000000       -38.299766         6.693135         0.045719         0.062810 
     7       -97.530193        -5.000000       -38.294681         0.797851        -0.067644         0.000000         0.997709         9.310018         0.000000         3.650145         0.300689         1.000000         0.075172        -0.000000        -3.878702        -0.000000         0.000000         0.000000         0.000000       -97.605193        -6.000000       -38.299766       -97.605193        -4.000000       -38.299766         6.942702         0.110735        -0.030302 
     8       -97.530193        -3.000000       -38.294681         0.811390        -0.067644         0.000000         0.997709         9.310018         0.000000         3.650145         0.300689         1.000000         0.075172        -0.000000        -3.878702        -0.000000         0.000000         0.000000         0.000000       -97.605193        -4.000000       -38.299766       -97.605193        -2.000000       -38.299766         7.066149         0.035896        -0.007118 
     9       -97.530193        -1.000000       -38.294681         0.816030        -0.067644         0.000000         0.997709         9.310018         0.000000         3.650145         0.300689         1.000000         0.075172        -0.000000        -3.878702        -0.000000         0.000000         0.000000         0.000000       -97.605193        -2.000000       -38.299766       -97.605193         0.000000       -38.299766         7.111165         0.010818        -0.005421 
    10       -97.380193        -9.000000       -38.287933         0.362011        -0.022167         0.000000         0.999754         9.310018         0.000000         3.650145         0.300074         1.000000         0.075018        -0.000000        -1.270156        -0.000000         0.000000         0.000000         0.000000       -97.455193       -10.000000       -38.289596       -97.455193        -8.000000       -38.289596         6.397963         4.234072        -2.163890 
    11       -97.380193        -7.000000       -38.287933         0.544011        -0.022167         0.000000         0.999754         9.310018         0.000000         3.650145         0.300074         1.000000         0.075018        -0.000000        -1.270156        -0.000000         0.000000         0.000000         0.000000       -97.455193        -8.000000       -38.289596       -97.455193        -6.000000       -38.289596         8.449798         0.057015         0.075362 
    12       -97.380193        -5.000000       -38.287933         0.560386        -0.022167         0.000000         0.999754         9.310018         0.000000         3.650145         0.300074         1.000000         0.075018        -0.000000        -1.270156        -0.000000         0.000000         0.000000         0.000000       -97.455193        -6.000000       -38.289596       -97.455193        -4.000000       -38.289596         8.753453         0.134818        -0.036460 
    13       -97.380193        -3.000000       -38.287933         0.569057        -0.022167         0.000000         0.999754         9.310018         0.000000         3.650145         0.300074         1.000000         0.075018        -0.000000        -1.270156        -0.000000         0.000000         0.000000         0.000000       -97.455193        -4.000000       -38.289596       -97.455193        -2.000000       -38.289596         8.904811         0.044106        -0.008895 
    14       -97.380193        -1.000000       -38.287933         0.572060        -0.022167         0.000000         0.999754         9.310018         0.000000         3.650145         0.300074         1.000000         0.075018        -0.000000        -1.270156        -0.000000         0.000000         0.000000         0.000000       -97.455193        -2.000000       -38.289596       -97.455193         0.000000       -38.289596         8.959750         0.013141        -0.006587 
    15       -97.230193        -9.000000       -38.287873         0.281341         0.021360        -0.000000         0.999772         9.310018         0.000000         3.650145         0.300068         1.000000         0.075017         0.000000         1.223935         0.000000         0.000000         0.000000         0.000000       -97.305193       -10.000000       -38.286270       -97.305193        -8.000000       -38.286270         7.458561         4.938108        -2.520453 
    16       -97.230193        -7.000000       -38.287873         0.421830         0.021360        -0.000000         0.999772         9.310018         0.000000         3.650145         0.300068         1.000000         0.075017         0.000000         1.223935         0.000000         0.000000         0.000000         0.000000       -97.305193        -8.000000       -38.286270       -97.305193        -6.000000       -38.286270         9.857791         0.065946         0.084372 
    17       -97.230193        -5.000000       -38.287873         0.433424         0.021360        -0.000000         0.999772         9.310018         0.000000         3.650145         0.300068         1.000000         0.075017         0.000000         1.223935         0.000000         0.000000         0.000000         0.000000       -97.305193        -6.000000       -38.286270       -97.305193        -4.000000       -38.286270        10.201854         0.152801        -0.040945 
    18       -97.230193        -3.000000       -38.287873         0.439514         0.021360        -0.000000         0.999772         9.310018         0.000000         3.650145         0.300068         1.000000         0.075017         0.000000         1.223935         0.000000         0.000000         0.000000         0.000000       -97.305193        -4.000000       -38.286270       -97.305193        -2.000000       -38.286270        10.374337         0.050342        -0.010285 
    19       -97.230193        -1.000000       -38.287873         0.441607         0.021360        -0.000000         0.999772         9.310018         0.000000         3.650145         0.300068         1.000000         0.075017         0.000000         1.223935         0.000000         0.000000         0.000000         0.000000       -97.305193        -2.000000       -38.286270       -97.305193         0.000000       -38.286270        10.436713         0.014865        -0.007454 
    20       -97.080193        -9.000000       -38.294275         0.222306         0.063862        -0.000000         0.997959         9.310018         0.000000         3.650145         0.300614         1.000000         0.075153         0.000000         3.661510         0.000000         0.000000         0.000000         0.000000       -97.155193       -10.000000       -38.289475       -97.155193        -8.000000       -38.289475         8.323161         5.510857        -2.812304 
    21       -97.080193        -7.000000       -38.294275         0.330678         0.063862        -0.000000         0.997959         9.310018         0.000000         3.650145         0.300614         1.000000         0.075153         0.000000         3.661510         0.000000         0.000000         0.000000         0.000000       -97.155193        -8.000000       -38.289475       -97.155193        -6.000000       -38.289475        11.000373         0.071069         0.092410 
    22       -97.080193        -5.000000       -38.294275         0.338800         0.063862        -0.000000         0.997959         9.310018         0.000000         3.650145         0.300614         1.000000         0.075153         0.000000         3.661510         0.000000         0.000000         0.000000         0.000000       -97.155193        -6.000000       -38.289475       -97.155193        -4.000000       -38.289475        11.375203         0.166813        -0.044538 
    23       -97.080193        -3.000000       -38.294275         0.343133         0.063862        -0.000000         0.997959         9.310018         0.000000         3.650145         0.300614         1.000000         0.075153         0.000000         3.661510         0.000000         0.000000         0.000000         0.000000       -97.155193        -4.000000       -38.289475       -97.155193        -2.000000       -38.289475        11.563883         0.055073        -0.011332 
    24       -97.080193        -1.000000       -38.294275         0.344599         0.063862        -0.000000         0.997959         9.310018         0.000000         3.650145         0.300614         1.000000         0.075153         0.000000         3.661510         0.000000         0.000000         0.000000         0.000000       -97.155193        -2.000000       -38.289475       -97.155193         0.000000       -38.289475        11.631920         0.016181        -0.008115 
