RU-HF148-19		number of rows = 36		
1	-0.1653	0.04091	1.00E+05	0.0096
2	-0.0288	0.03726	1.00E+05	0.0042
3	0.3924	0.0357	1.00E+05	-0.0398
5	0.5577	0.04336	1.00E+05	-0.0455
7	0.6341	0.055	1.00E+05	-0.0401
17	0.7327	0.12186	1.00E+05	0.0188
1	-0.2832	0.01836	5.00E+05	0.0631
3	-0.0644	0.01212	5.00E+05	0.0656
5	0.1883	0.01068	5.00E+05	0.0625
7	0.4694	0.01162	5.00E+05	0.0486
9	0.7086	0.01226	5.00E+05	0.0411
11	0.9445	0.01328	5.00E+05	0.033
12	1.0716	0.01395	5.00E+05	0.0263
13	1.1797	0.01491	5.00E+05	0.0229
14	1.306	0.01607	5.00E+05	0.0143
15	1.4185	0.01978	5.00E+05	0.002
1	-0.3025	0.01408	1.00E+06	0.0689
2	-0.1938	0.01114	1.00E+06	0.0702
3	-0.0883	0.0098	1.00E+06	0.0717
6	0.1933	0.00688	1.00E+06	0.0824
7	0.3123	0.00743	1.00E+06	0.08
9	0.5639	0.00848	1.00E+06	0.0708
11	0.8097	0.00954	1.00E+06	0.0612
13	1.0439	0.01112	1.00E+06	0.052
14	1.1757	0.01221	1.00E+06	0.043
15	1.2956	0.01605	1.00E+06	0.0298
16	1.3339	0.02399	1.00E+06	0.0233
1	-0.3232	0.01091	2.00E+06	0.0739
3	-0.1068	0.00838	2.00E+06	0.076
5	0.0653	0.00497	2.00E+06	0.0853
6	0.1776	0.00525	2.00E+06	0.085
8	0.4132	0.00591	2.00E+06	0.0804
10	0.6479	0.00667	2.00E+06	0.0746
14	1.1094	0.00912	2.00E+06	0.0597
15	1.229	0.0136	2.00E+06	0.0453
17	1.2936	0.03346	2.00E+06	0.0272
