Design1	Numer	of	rows	=53
3	0.0722	0.02367	5.00E+05	0.0367
4	0.1709	0.02475	5.00E+05	0.0356
5	0.2592	0.02657	5.00E+05	0.035
6	0.3265	0.02911	5.00E+05	0.0365
7	0.3633	0.03198	5.00E+05	0.0428
8	0.3892	0.0349	5.00E+05	0.0512
9	0.4306	0.03798	5.00E+05	0.0563
10	0.4767	0.04135	5.00E+05	0.0599
11	0.5254	0.04511	5.00E+05	0.0622
12	0.5733	0.04928	5.00E+05	0.0639
13	0.6204	0.05401	5.00E+05	0.0648
14	0.6652	0.05932	5.00E+05	0.0651
15	0.7066	0.06533	5.00E+05	0.0648
16	0.744	0.07216	5.00E+05	0.0638
17	0.7767	0.07993	5.00E+05	0.0621
18	0.8034	0.08883	5.00E+05	0.0597
19	0.8245	0.09896	5.00E+05	0.0564
5	0.0614	0.00657	1.00E+06	0.0969
5.5	0.1203	0.00665	1.00E+06	0.0959
6	0.1779	0.00664	1.00E+06	0.0951
6.5	0.2407	0.00666	1.00E+06	0.0931
7	0.3013	0.00674	1.00E+06	0.0916
7.5	0.3593	0.00679	1.00E+06	0.0905
8	0.4216	0.00687	1.00E+06	0.0885
8.5	0.4843	0.00702	1.00E+06	0.0863
9	0.5436	0.00714	1.00E+06	0.0848
9.5	0.6042	0.00732	1.00E+06	0.0829
10	0.6693	0.00757	1.00E+06	0.0799
10.5	0.7336	0.00782	1.00E+06	0.077
11.5	0.8541	0.00849	1.00E+06	0.0726
12	0.9226	0.009	1.00E+06	0.0682
12.5	0.991	0.00973	1.00E+06	0.0633
13	1.0564	0.01099	1.00E+06	0.058
13.5	1.1049	0.01398	1.00E+06	0.0524
14	1.1455	0.02064	1.00E+06	0.0394
14.5	1.1523	0.02592	1.00E+06	0.0357
15	1.1634	0.03092	1.00E+06	0.0322
16	1.186	0.0411	1.00E+06	0.0255
5	0.0518	0.00477	2.00E+06	0.0989
6	0.1706	0.0048	2.00E+06	0.0967
7	0.2896	0.00488	2.00E+06	0.0941
8	0.408	0.00503	2.00E+06	0.0915
9	0.5263	0.00524	2.00E+06	0.0886
10	0.645	0.00561	2.00E+06	0.0853
11	0.7632	0.00617	2.00E+06	0.0816
12	0.8769	0.00717	2.00E+06	0.0781
13	0.9886	0.00943	2.00E+06	0.0725
14	1.0767	0.01864	2.00E+06	0.0545
15	1.1102	0.02769	2.00E+06	0.0469
16	1.1456	0.03592	2.00E+06	0.0418
17	1.1881	0.04403	2.00E+06	0.036
18	1.2242	0.05256	2.00E+06	0.0312
19	1.2292	0.06064	2.00E+06	0.0332
