Output file of performance calculations
Weight    = 801.000000  Wing area = 0.102300  cmac      = 0.160000  
xcg = 0.000000  ycg = 0.000000  zcg = 0.000000
   alpha     Vinf       CL       CD   Dtotal      L/D   wglide     Preq     Dind    Dprof      Dht      Dvt     Dfus   Dinter    Dmisc  CMoWing
     1.0     -nan    -0.00 -0.15146 -262.112     -2.6     -nan     -nan  -46.760 -215.351   -0.000   -0.000   -0.000   -0.000    0.000    0.008 
     3.0     -nan -1444167109029320674893198692790216174938939801169604754336540954842251569733635675793736352684774667114765391188273842024569926001863464904655792862215812598221246370007902796180893320453137331838477838193975046127970147333635190242991868118223349616326791921411111238957967714061558549889784210295099635044179205202989016960835997684124191659836559919890877320426909867806415982834912570664296706119348699029350941219369168803663980090497784776791289555114130896566616821004298183756195566788681545215678387327260683973419746952227344548376579967697629380762310205274419689458514997888933887580652136604113144797729676955133682934597928867429300817753762259304647042884029807418654629691296254519272236904929089334507114111221720426357252632052536850121418678577614908519669375721450869505657066088111128186909523997403405305119875406400893016886749971365320532571905610159117503335702105089938104007099460708785049107272732183365930359440387422741708096711787843441489105216871262846454335330960530812308246108249761924797290104201053500749240792204700729025552612237088117549704230568616164212543167750807286468755692525646433399305856679607518910473617857390334344282842262687323862379365011653500670244497103856178677677192314234865048584709936655379323829357041281942864060790873123854986758300166225294097238545744953645767255439035326439205162003365570613207043373788950253801602200335269020505227258263429865189725156092000322696482897359431888586284073124091804835869920189803838462392705891741879961179418825575918451284593857324986785316658509376674137993895243820065471262802736501276289977823326389099932969151819895104920103894566025519063548031202368966209446700396205747617735915245791426507742052497219008894226341133042158734559255388733189953361970533536139327174284023876304127315841971636030601884172265512697463261361120533728971155904930549856850940121219080012538584684950063641726373945764385130903978203604019958665181538706216744801084294001879420502979592169621997587252986256071620508768039848082472236100751000348782092145297181125578271626154548902578648861729107745717478591999409187266747753349270727950425521026315415755692428722148032374999932060823596784988618454076314064028636242769346535560790202118392038025958717843808195781408491904510060983862091833537940560995834566045493227310830777572882161978294276906792989836590964997084149126745248307597334656591756565428041936083128551959586555346139763995638054572290123410021788918555376605989473031682871225176874011646170046622281988013444136305538688966485658507813930079153210751709679716038692888741804277684806826645487182360502395397114014629579399428529062379654176931878612979585648259636041566126729732363756212552999485483711753929860152954028670501080912716647307428995429224152714313300546339878736985924477910322506893593610233041026863599299872840743045518449529769536874892955621448309014073447649812641285152266040981096838241183629362953543002789499992795756128740846204882300902984368097792872457403990373572800623372195239549702142055474728702981879967088983075419643537952761241166086009385793561348833474074790088831224379876884921718616930115383077421461204599972388028806204440724302830709316049135831036692380016560553420561019733618775547988466632456948342049939166596614375849539473423438308312639456761827850844611528397758556307988426435134471963134754692268032.00 -0.03245 -845.936     -0.6     -nan     -nan -131.275 -714.661   -0.000   -0.000   -0.000   -0.000    0.000    0.001 
     5.0    12.92 7848218453808863866169656012943722231715846353865506265643037647731588103182985465315499059315861037292271863217787230955883639337550028640467020754461241367316802930762927932470069216104656274612727588132758579191648985558944679673666784580240304493429259412728776346092363346522922164945409661141682383543827611258582819292910500472808177720623104.00  0.09374  180.599      5.2     2.48  2334.19   94.355   86.244    0.000    0.000    0.000    0.000    0.000    0.108 
     7.0     8.37    -0.00  0.22327   82.354     10.1     0.83   689.70   45.285   37.068    0.000    0.000    0.000    0.000    0.000    0.104 
     9.0     6.70 -30783064777813356633203587673108646448279918015402190114023519161209621012478060986738053327937017984610259316300079990029260869639812365225408287580083087449084207434894194251352758322831920919756144710274847131199560530275325061994742433153979047498526175486123106687279275660181499860018948966964301492123572234342998442822368426763692048241120984893897558599369709630291725406554087671126618648920079093325442578995664784384149775295828290398917552452992902652106603579991715133533157989186755866543549286919212125550370680822729177615792851339193010195534857062941452997375373171281446491355622304014115532029564853353348279288406034544966454953493341042923922473721749926445167833323765276661020129251698352899321722175446444578407373696604019310214265274953805402987698134639175488586459603636393393370468562339244540862448710674035220427073285514564674615409767037313710429612231317752970575338786981666621296393664891735896769906142585536912796197447437282592228335866882901929124592022213202266941964432667355968780928323837506917813293847006458996818223582406776782675890647735966609552145341446382476558370181618869451920552953088180155264532890029851262118617171281602707250646469850822992073693322053915596494918980779152843321670117683846361800412192651350314743329878079847515790619493808985603170621125505272339020078115183774834475128741296863647419242672624262320003608511508750548607030484838218616573021505026443848086986019951605253458110877118284703847536636547200550939157360960711803462304743625064916026788936512916668309829565201573828499015652235719694144814595417018625136276431017501156995031932261504883706043626590202908774810404877986306559154245375445902106946856476052574393541306619011277151882825096498376253801238454073974740806096493419468617070583620283617519721842402529447527017759715623236971300990239894903573479367321230998631751370228286977677943820178679683825518442701531287745493232739047131782299564941800032328957721301835589451652906027142168068357927944687572334266002414076812301372602642000581922366888306488177620346617321269701376656671824250695099000285828725106437410255384791964845079609212151743116965556663540552337799693776835393981341011206894692403798828403361212863342497219281231353703369978196478038265758224273221645457816044104404911626003730122673702356575736002694049363189970564671461309657044961894211710499107787594179438806729656491236263069444315837004782327290317312156231115826202617721482365164633488935008256750043193799583185350360346436110839741472328825309638171094458202385686293638720591788047876562711819455726068647886280770760737366534354850300235534376192401692993893897994695940027343071911567706124525249488345297910739385151806504942836125328530926106101451909553497444342298868929906507242872522840536320546629076367405252694181653671527860290025569144624860429178688489922389037487103943351511314119815462154157212062484166606968413162461507515021865171503065218532230266083967689692086437949475703560586552177462295136874526937712143800586376587531132315954944902912850051953018712977846841885510176300552174980352938415355983324546144156326124984007499659261704268991058461880145043856103124919459336970814483745701642150724430618473751497090606316894697652193985723000294286801194907633702126879414283067362329085376705073853018258598737859333116845311693416714449411999951475388015434149431117452968926805379721070436919084986535902048762542138750848180346845974610893845497200374345974996484790309508964300756776396953903534231260352102697148832331611074739249771179492504196444982697072917681943040960362150972373222559077704674628335612086188965197251037401407930495498690274105665008098700658051404855984225148049220361714617689241958243593004897314000262993543168.00  0.34903   65.158     12.5     0.54   436.44   39.771   25.387    0.000    0.000    0.000    0.000    0.000    0.098 
    11.0     5.75    -0.00  0.47422   61.703     13.1     0.44   354.57   41.161   20.541    0.000    0.000    0.000    0.000    0.000    0.087 
    13.0     5.38     0.00  0.54020   60.066     13.4     0.40   323.40   41.273   18.792    0.000    0.000    0.000    0.000    0.000    0.082 
    15.0     4.77 8988537924940212125971926354917499581481892332490943344108008794227027304903409202473697778501667474393708331411460878659931616517307862959814706370057077242356226721111260019132727045945718553184243141956180303633857183323413644862228309903990120274545956667820545492241598421873005073529141210295915279480282510803308222292500921329306852019820716574764802130454002722613014066705812187799569751592531799166165959896807016868980595976016721124408070396393134126855846203341656250416441680217037164575149718093909791931057539217811910087576240339413909605425473627162081351363431877789066438644693407943698354694803270798723251929308002376207819646108616256549623317208782509644467105859685960521753891343081422544113929213708532676991800169082463676558034474172906782234283320777944198801842697821472486033938500180791267553491290601490353531359623169129310482923566508593327961643010557087666064523880225405731341306842319738596785696201640667390885202218369034241134387729988720029828653140313158330571753124711823100857725193518251524992925610538353935147725238038647124580239988966766765989766456217750120252250601016109255687222402175793454183148540090882076245281053838516233073878512261891245956307367347007704328381457129686828502356473730985415401967945115046824686204951214059792988888193326013978447658046509426686782089434152993464064310654786770481257222393695104390661672441732636907004476459047204531257384068042073556529295611407328889547983150433829523546533272121903175882054092956125041723600277352850165666466498897308076318441092029515970133814236647962799997556829111964064499555027740215757691225453007976784322556649931435109868144211125568519158607711353147411118747241157624535127832281845204557860432915162597617862896252113311394429117744064631532157532726696194690034677256726557997410848110456496460981418224840242993045155902131140465443406193897448381082592056523822036300790454845647057506801929508965613447922903285416441391600790430504074192520042838194639316746615489177327279453159713828580067169754582023621113367916039137217417833700365195311686564119698577298543612173681057671223089219457831399185333835047744261337927236356306287362999465354242514452350848496805712431983001109617908838635894222845471893963926851993221090012064951556862998662868794752745379386594162743488591149904606583638739960465091277415736641791399180742524495109617003288472139020968730388489322256223503370437019893617337698952172172803069275793493394177016284665369071037914760771914798179330658373790092756848066925161723681360112388061329267578494055693835118768365599724747506732184404302372795837811785125713946262938250158050552491393841465933187438598493684898141425172648506264855813398565834328278930463624120590016208844025303637113945840955203245777085148898927297547687373203920434815515169945555369237774051178636495927541166161652710317058616275648404338712099601136373399592394821195910170345605872524578808574958484568882088099068676709434765346440214858031417269068462761095864713767658038654317617689443928325496263857651200388598267359364581195600288411584215806826091175798703828144443703740700977457186406423385941442372745083153644204850121507381985757633382831021957671004632631085436587128988592352840338208376095312979096933784155340719892470360741657475662186722617233808790771210638392540033718252500894138487333628097895391669816966946387521618133495963899534804795743239940120292119121056230214345414354147727167518075641015171001803863955198348556233097770784923671416251717062939574563053625433991324685352846113916142777975742140340117546954373705183311753600184753173292817075960920284775219038822392122132893980999191472986660322576938941530596114070579236470988771157000813827047509419695234097541376266222293403336517373205945754382145851435969241543489589229233209403464585862493228123113002392421072868219923779236769280230062605673745499032210699726649501466150024703599773996151277682196548150259351552.00  0.68698   63.563     12.7     0.38   303.48   47.510   16.054    0.000    0.000    0.000    0.000    0.000    0.071 
    17.0     4.36 -2291649961576295862684631975541232313630245837123216334229889944516211548758625612218235743331628682533906448078464266319058077560332347210174539195995465006412426814112150014547142147925467918152694071679284532922342676965792001909712397432207656449565725431028845826338009053684848027719180994478231478635227761076576311333141304193004896779051402631374684448316095133535247850657204743275331593924672034287624736823933374181594008611553345583270037979206274619254245527876455701791132051004708222039158616116253931368839899527468705231405056.00  0.82557   68.652     11.8     0.37   299.00   54.218   14.433    0.000    0.000    0.000    0.000    0.000    0.061 
    19.0     4.04     0.00  0.95742   74.501     10.9     0.37   301.30   61.098   13.403    0.000    0.000    0.000    0.000    0.000    0.052 
